Unnamed: 0,release_date,movie,production_budget,domestic_gross,worldwide_gross,distributor,mpaa_rating,genre
2754,9/27/2000,Best in Show,6000000.0,18621249.0,20695413.0,Warner Bros.,PG-13,Comedy
2755,9/27/2006,The Last King of Scotland,6000000.0,17606684.0,49155371.0,Other,R,Drama
2756,4/16/2003,A Mighty Wind,6000000.0,17583468.0,18504539.0,Warner Bros.,PG-13,Comedy
2757,2/12/1988,School Daze,6000000.0,14545844.0,14545844.0,Sony Pictures,R,Drama
2758,8/8/2007,Daddy Day Camp,6000000.0,13235267.0,18209872.0,Sony Pictures,PG,Comedy
2759,10/21/1988,Mystic Pizza,6000000.0,12793213.0,12793213.0,Other,R,Comedy
2760,3/20/1998,Mr. Nice Guy,6000000.0,12716953.0,31716953.0,Other,PG-13,Action
2761,4/24/1998,Sliding Doors,6000000.0,11911200.0,58809149.0,Miramax,PG-13,Drama
2763,9/7/2012,The Words,6000000.0,11494838.0,16369708.0,Other,PG-13,Drama
2764,12/15/2000,Pollock,6000000.0,8596914.0,10557291.0,Other,R,Drama
2765,3/19/2010,City Island,6000000.0,6671283.0,8173486.0,Other,PG-13,Comedy
2766,3/16/2012,Casa de mi Padre,6000000.0,5909483.0,8446952.0,Lionsgate,R,Comedy
2767,7/29/2011,The Guard,6000000.0,5359774.0,21197454.0,Other,R,Comedy
2768,8/29/2008,College,6000000.0,4694491.0,6176114.0,MGM,R,Comedy
2769,9/22/2006,La science des rêves,6000000.0,4670644.0,15137932.0,Other,R,Comedy
2770,3/13/2009,Miss March,6000000.0,4543320.0,4713059.0,20th Century Fox,R,Comedy
2771,7/18/2014,Wish I Was Here,6000000.0,3591299.0,6591365.0,Other,R,Comedy
2772,12/21/2006,Venus,6000000.0,3347411.0,7818479.0,Miramax,R,Drama
2773,3/14/2014,Veronica Mars,6000000.0,3322127.0,3485383.0,Warner Bros.,PG-13,Drama
2774,10/31/2003,Shattered Glass,6000000.0,2207975.0,3456602.0,Lionsgate,PG-13,Drama
2775,7/3/2008,The Wackness,6000000.0,2077046.0,3330012.0,Other,R,Comedy
2776,11/16/2001,Novocaine,6000000.0,2025238.0,2522928.0,Other,R,Comedy
2777,7/15/2011,Snow Flower and the Secret Fan,6000000.0,1348205.0,11348205.0,Other,PG-13,Drama
2778,12/7/2001,The Business of Strangers,6000000.0,1030920.0,1290920.0,Other,R,Drama
2779,4/29/2011,Jûsan-nin no shikaku,6000000.0,802778.0,18727440.0,Other,R,Action
2780,3/25/2011,The 5th Quarter,6000000.0,408159.0,408159.0,Other,PG,Drama
2784,9/5/2008,"Surfer, Dude",6000000.0,36497.0,36497.0,Other,R,Comedy
2787,3/18/2011,Winter in Wartime,5800000.0,542860.0,9662214.0,Other,R,Drama
2788,9/8/2006,Tom yum goong,5700000.0,12044087.0,43044087.0,Other,R,Action
2790,3/12/2003,Bend it Like Beckham,5600000.0,32543449.0,74566042.0,Other,PG-13,Drama
2791,9/1/2006,Crossover,5600000.0,7009668.0,7009668.0,Sony Pictures,PG-13,Drama
2792,6/21/2002,Sunshine State,5600000.0,3064356.0,3281898.0,Other,PG-13,Drama
2793,12/25/1973,The Sting,5500000.0,159616327.0,159616327.0,Universal,PG,Comedy
2794,9/25/1981,Chariots of Fire,5500000.0,61558162.0,61865947.0,Warner Bros.,PG,Drama
2795,2/25/2005,Diary of a Mad Black Woman,5500000.0,50406346.0,50458356.0,Lionsgate,PG-13,Drama
2796,11/22/1996,Shine,5500000.0,35811509.0,36672493.0,Other,PG-13,Drama
2797,9/28/2018,Hell Fest,5500000.0,10751601.0,12527795.0,Other,R,Horror
2799,7/20/2001,Ghost World,5500000.0,6217849.0,8761608.0,MGM,R,Comedy
2800,12/14/2001,Iris,5500000.0,5580479.0,15155021.0,Miramax,R,Drama
2801,11/26/2004,Les Choristes,5500000.0,3629758.0,83529758.0,Miramax,PG-13,Drama
2802,10/3/2003,Wonderland,5500000.0,1060512.0,1060512.0,Lionsgate,R,Drama
2803,4/1/2011,Haevnen,5500000.0,1008098.0,15867314.0,Other,R,Drama
2805,7/15/2011,Salvation Boulevard,5500000.0,28468.0,28468.0,Other,R,Comedy
2806,8/3/2007,The Ten,5250000.0,769726.0,786677.0,Other,R,Comedy
2808,8/5/2005,Saint Ralph,5200000.0,795126.0,1695126.0,Other,PG-13,Comedy
2809,4/22/2011,Dum Maaro Dum,5200000.0,564489.0,11633427.0,Other,R,Drama
2811,2/24/2017,Get Out,5000000.0,176040665.0,255363701.0,Universal,R,Horror
2812,1/20/2017,Split,5000000.0,138141585.0,278306227.0,Universal,PG-13,Horror
2813,10/21/2011,Paranormal Activity 3,5000000.0,104028807.0,202053386.0,Paramount Pictures,R,Horror
2814,10/28/2005,Saw II,5000000.0,87025093.0,152925093.0,Lionsgate,R,Horror
2815,9/13/2013,Insidious Chapter 2,5000000.0,83586447.0,161921515.0,Other,PG-13,Horror
2816,7/22/2016,Lights Out,5000000.0,67268835.0,148868835.0,Warner Bros.,PG-13,Horror
2817,10/25/2002,Jackass: The Movie,5000000.0,64282312.0,79282312.0,Paramount Pictures,R,Comedy
2818,10/13/2017,Happy Death Day,5000000.0,55683845.0,125013000.0,Universal,PG-13,Horror
2819,10/19/2012,Paranormal Activity 4,5000000.0,53900335.0,140619520.0,Paramount Pictures,R,Horror
2820,10/24/2014,Ouija,5000000.0,50856010.0,103300632.0,Universal,PG-13,Horror
2821,8/30/2013,No se Aceptan Devoluciones,5000000.0,44467206.0,100486616.0,Lionsgate,PG-13,Comedy
2823,12/24/2003,Monster,5000000.0,34469210.0,64240813.0,Other,R,Drama
2824,12/23/1954,"20,000 Leagues Under the Sea",5000000.0,28200000.0,28200000.0,Walt Disney,G,Adventure
2825,4/11/2014,Oculus,5000000.0,27695246.0,44115496.0,Other,R,Horror
2826,11/1/2013,Dallas Buyers Club,5000000.0,27298285.0,60611845.0,Other,R,Drama
2827,2/27/2015,The Lazarus Effect,5000000.0,25801570.0,35341814.0,Lionsgate,PG-13,Horror
2828,3/16/2001,Memento,5000000.0,25544867.0,39723096.0,Other,R,Drama
2829,8/26/2011,Our Idiot Brother,5000000.0,24814830.0,25861249.0,Other,R,Comedy
2830,7/21/2006,Clerks II,5000000.0,24148068.0,27342246.0,MGM,R,Comedy
2831,4/8/1998,The Players Club,5000000.0,23047939.0,23047939.0,Other,R,Drama
2832,10/13/2000,Billy Elliot,5000000.0,21995263.0,109263464.0,Other,PG-13,Drama
2833,7/5/2013,The Way Way Back,5000000.0,21502690.0,26853810.0,Other,PG-13,Comedy
2834,4/1/2016,God’s Not Dead 2,5000000.0,20773069.0,23562057.0,Other,PG,Drama
2835,12/17/1997,The Apostle,5000000.0,20733485.0,21277770.0,Other,PG-13,Drama
2837,10/23/1991,House Party 2,5000000.0,19438638.0,19438638.0,Other,R,Comedy
2838,3/26/1999,Doug's 1st Movie,5000000.0,19421271.0,19421271.0,Walt Disney,G,Adventure
2840,1/16/2015,Still Alice,5000000.0,18656400.0,41699612.0,Other,PG-13,Drama
2841,3/23/2018,"Paul, Apostle of Christ",5000000.0,17547999.0,23389835.0,Sony Pictures,PG-13,Drama
2842,10/10/2014,Addicted,5000000.0,17390770.0,17499242.0,Lionsgate,R,Drama
2843,8/31/2001,O (Othello),5000000.0,16017403.0,16017403.0,Lionsgate,R,Drama
2844,11/7/1997,Eve's Bayou,5000000.0,14843425.0,14843425.0,Other,R,Drama
2846,6/9/2017,It Comes at Night,5000000.0,13985117.0,19720203.0,Other,R,Horror
2847,3/15/2002,Y Tu Mamá También,5000000.0,13649881.0,33649881.0,Other,R,Drama
2848,9/24/2004,Shaun of the Dead,5000000.0,13542874.0,30332385.0,Other,R,Comedy
2849,6/21/1996,Lone Star,5000000.0,12961389.0,12961389.0,Other,R,Drama
2852,3/3/2017,Before I Fall,5000000.0,12241072.0,18945682.0,Other,PG-13,Drama
2854,3/13/2009,Sunshine Cleaning,5000000.0,12062558.0,17329337.0,Other,R,Comedy
